date,timestep,tmn,tmx,dswr,co2,doy,LAI
2011-02-28,4077,-9.904327392578127,1.440826416015625,9.651115417480467,385.0,59,2.480315
2011-03-31,4108,-4.53289794921875,7.416290283203125,13.171054840087889,385.0,90,1.4055119
2011-04-30,4138,1.067352294921875,14.410919189453123,15.073662757873535,385.0,120,1.4055119
2011-05-31,4169,7.357757568359374,21.555328369140625,18.46812057495117,385.0,151,2.03937
2011-06-30,4199,12.404998779296875,25.985656738281246,20.364517211914062,385.0,181,5.125984
2011-07-31,4230,15.117218017578125,28.41717529296875,21.508968353271484,385.0,212,5.7322836
2011-08-31,4261,14.006256103515625,27.275573730468754,17.62256050109863,385.0,243,5.1535435
2011-09-30,4291,9.421783447265623,22.941955566406246,13.565181732177736,385.0,273,4.2992125
2011-10-31,4322,4.029144287109375,17.084014892578125,10.37741756439209,385.0,304,3.8031497
2011-11-30,4352,-1.079071044921875,9.621673583984377,7.239979743957519,385.0,334,1.0748031
2011-12-31,4383,-7.661010742187501,2.184967041015625,5.572566032409667,385.0,365,1.1299213
2012-01-31,4414,-10.7120361328125,-0.15643310546875003,6.847046375274657,385.0,31,0.77165353
2012-02-29,4443,-9.571563720703123,1.7736511230468748,9.857287406921383,385.0,60,1.1299213
2012-03-31,4474,-4.155731201171875,7.79345703125,13.204305648803713,385.0,91,1.3503937
2012-04-30,4504,1.135955810546875,14.479461669921875,17.53109359741211,385.0,121,1.7913386
2012-05-31,4535,7.189453124999999,21.387023925781246,17.695812225341797,385.0,152,3.555118
2012-06-30,4565,12.1873779296875,25.76803588867188,20.451354980468754,385.0,182,5.8149605
2012-07-31,4596,14.788909912109377,28.088958740234375,20.048641204833984,385.0,213,5.7322836
2012-08-31,4627,14.084228515625002,27.353576660156254,17.319812774658203,385.0,244,5.9251966
2012-09-30,4657,9.63043212890625,23.15066528320312,14.672683715820314,385.0,274,4.96063
2012-10-31,4688,3.7189331054687496,16.77371215820312,9.27638053894043,385.0,305,1.3503937
2012-11-30,4718,-1.7639465332031252,8.936889648437502,6.6954002380371085,385.0,335,1.0472441
2012-12-31,4749,-7.833374023437501,2.012542724609375,5.0202717781066895,385.0,366,0.8818897599999999
