"doy","NEE_gCm2day","NEE_unc_gCm2day","GPP_gCm2day","GPP_unc_gCm2day","Reco_gCm2day","Reco_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","LAI_m2m2","LAI_unc_m2m2","Cwood_stock_gCm2","Cwood_stock_unc_gCm2"
118,-2.8952471942122,0.58,-9999,1,-9999,1,1.76649383888338,1,1.483333411,0.214999995,-9999,-9999
149,-2.73888432240661,0.58,-9999,1,-9999,1,1.98388710260358,1,2.10000011,0.399999991,-9999,-9999
179,-1.87810977429132,0.58,-9999,1,-9999,1,1.72754980002738,1,3.355555731,0.656666652,-9999,-9999
210,-0.697195762552831,0.58,-9999,1,-9999,1,1.11625970335669,1,3.766666863,0.529999988,6395,663
241,0.323041847637234,0.58,-9999,1,-9999,1,0.609920984906195,1,3.188889055,0.498333322,-9999,-9999
271,0.77033898626228,0.58,-9999,1,-9999,1,0.385800108291334,1,1.911111211,0.391666658,-9999,-9999
302,0.771500151571951,0.58,-9999,1,-9999,1,0.309997603609146,1,1.311111179,0.419999991,-9999,-9999
332,0.618576231638399,0.58,-9999,1,-9999,1,0.271884006989659,1,-9999,-9999,-9999,-9999
363,0.497789734512564,0.58,-9999,1,-9999,1,0.259519793840244,1,-9999,-9999,-9999,-9999
28,0.226124718387591,0.58,-9999,1,-9999,1,0.359790628228507,1,-9999,-9999,-9999,-9999
56,-0.837595436166399,0.58,-9999,1,-9999,1,0.863295627497558,1,-9999,-9999,-9999,-9999
87,-2.11634890019765,0.58,-9999,1,-9999,1,1.50025157275785,1,-9999,-9999,-9999,-9999
117,-3.30142214195984,0.58,-9999,1,-9999,1,2.15464487139514,1,1.333333403,0.179999996,-9999,-9999
148,-3.14377647029114,0.58,-9999,1,-9999,1,2.28415071113581,1,2.077777886,0.388333325,-9999,-9999
178,-2.04874844717147,0.58,-9999,1,-9999,1,1.90042062230906,1,3.633333523,0.623333319,-9999,-9999
209,-0.736799326408712,0.58,-9999,1,-9999,1,1.19884336853953,1,3.333333507,0.669999985,-9999,-9999
240,0.252639479152656,0.58,-9999,1,-9999,1,0.573880875050916,1,3.700000193,0.519999988,-9999,-9999
270,0.518826037925546,0.58,-9999,1,-9999,1,0.251866885087021,1,2.144444556,0.418333324,-9999,-9999
301,0.589238846511686,0.58,-9999,1,-9999,1,0.129562994283565,1,1.322222291,0.408333324,-9999,-9999
331,0.462475564742504,0.58,-9999,1,-9999,1,0.146041646382496,1,0.033333335,0.169999996,-9999,-9999
362,0.366028930729319,0.58,-9999,1,-9999,1,0.216129211734937,1,-9999,-9999,-9999,-9999
28,-0.0372958430843726,0.58,-9999,1,-9999,1,0.433729299319363,1,-9999,-9999,-9999,-9999
56,-0.513022649304962,0.58,-9999,1,-9999,1,1.00892850579935,1,-9999,-9999,-9999,-9999
87,-1.47225933713369,0.58,-9999,1,-9999,1,1.73394183835621,1,-9999,-9999,-9999,-9999
117,-2.18115295816033,0.58,-9999,1,-9999,1,2.35041151633387,1,1.500000078,0.269999994,-9999,-9999
148,-2.24980237700251,0.58,-9999,1,-9999,1,2.49807078235303,1,1.966666769,0.368333325,-9999,-9999
178,-1.39153683930139,0.58,-9999,1,-9999,1,1.93833328346223,1,3.722222416,0.61333332,-9999,-9999
209,-0.339923500394824,0.58,-9999,1,-9999,1,1.17866394932639,1,4.188889107,0.624999986,-9999,-9999
240,0.317917397004569,0.58,-9999,1,-9999,1,0.570444678979008,1,3.422222401,0.479999989,-9999,-9999
270,0.387685711372789,0.58,-9999,1,-9999,1,0.336369230852237,1,2.916666819,0.44499999,-9999,-9999
301,0.591977878497955,0.58,-9999,1,-9999,1,0.227482801820434,1,1.133333392,0.378333325,-9999,-9999
331,0.469864114782947,0.58,-9999,1,-9999,1,0.179288223100848,1,-9999,-9999,-9999,-9999
362,0.411083902621305,0.58,-9999,1,-9999,1,0.276274847936909,1,-9999,-9999,-9999,-9999
28,-0.465027685889417,0.58,-9999,1,-9999,1,0.544048168220659,1,-9999,-9999,-9999,-9999
56,-1.4394066658432,0.58,-9999,1,-9999,1,1.07502427207909,1,-9999,-9999,-9999,-9999
87,-2.44539700027163,0.58,-9999,1,-9999,1,1.55289418582652,1,-9999,-9999,-9999,-9999
117,-3.26972673164273,0.58,-9999,1,-9999,1,2.00583694460069,1,1.666666754,0.274999994,-9999,-9999
148,-2.470803846221,0.58,-9999,1,-9999,1,1.90473695286325,1,2.144444556,0.436666657,-9999,-9999
178,-1.54311089160445,0.58,-9999,1,-9999,1,1.48997662648521,1,3.800000198,0.601666653,-9999,-9999
209,-0.295341090653646,0.58,-9999,1,-9999,1,0.898357261307851,1,3.94444465,0.609999986,-9999,-9999
240,0.6335068831964,0.58,-9999,1,-9999,1,0.43466987325837,1,3.455555736,0.594999987,-9999,-9999
270,0.717874886953956,0.58,-9999,1,-9999,1,0.254266882665998,1,2.588889024,0.371666658,-9999,-9999
301,0.734429450742739,0.58,-9999,1,-9999,1,0.199714856228606,1,2.211111226,0.458333323,-9999,-9999
331,0.512566436213961,0.58,-9999,1,-9999,1,0.250585258704884,1,3.400000177,0.579999987,-9999,-9999
362,0.249748504218868,0.58,-9999,1,-9999,1,0.345708328770906,1,-9999,-9999,-9999,-9999
28,-0.607666469162959,0.58,-9999,1,-9999,1,0.69093053273938,1,-9999,-9999,-9999,-9999
56,-1.5228941129244,0.58,-9999,1,-9999,1,1.17979950398847,1,-9999,-9999,-9999,-9999
87,-2.25828180228578,0.58,-9999,1,-9999,1,1.60969132854412,1,-9999,-9999,-9999,-9999
117,-2.70491812196239,0.58,-9999,1,-9999,1,1.89519571098169,1,1.666666754,0.214999995,-9999,-9999
148,-2.04894967566667,0.58,-9999,1,-9999,1,1.75400660837799,1,2.122222333,0.421666657,-9999,-9999
178,-0.895223786681625,0.58,-9999,1,-9999,1,1.30153027001722,1,3.477777959,0.661666652,-9999,-9999
209,-0.215501344856649,0.58,-9999,1,-9999,1,0.81546871186874,1,4.022222432,0.574999987,-9999,-9999
240,0.465669007425067,0.58,-9999,1,-9999,1,0.376329739286566,1,3.644444635,0.491666656,-9999,-9999
270,0.609764000032097,0.58,-9999,1,-9999,1,0.183709967555706,1,2.711111253,0.42999999,-9999,-9999
301,0.544935013366801,0.58,-9999,1,-9999,1,0.154085688849281,1,3.58333352,0.479999989,-9999,-9999
331,0.474184010245528,0.58,-9999,1,-9999,1,0.193977598080022,1,3.766666863,1.269999972,-9999,-9999
362,0.167031535991943,0.58,-9999,1,-9999,1,0.321818217885329,1,-9999,-9999,-9999,-9999
27,-0.851687187055804,0.58,-9999,1,-9999,1,0.817757053881737,1,-9999,-9999,-9999,-9999
55,-1.74623875878763,0.58,-9999,1,-9999,1,1.35801714584051,1,-9999,-9999,-9999,-9999
86,-2.31019920367497,0.58,-9999,1,-9999,1,1.72403660979961,1,-9999,-9999,-9999,-9999
116,-2.62451190708723,0.58,-9999,1,-9999,1,1.98310288223565,1,1.416666741,0.192499996,-9999,-9999
147,-2.0714424840852,0.58,-9999,1,-9999,1,1.79439475488013,1,2.111111221,0.419999991,-9999,-9999
177,-0.962448433987078,0.58,-9999,1,-9999,1,1.33707728107228,1,3.766666863,0.691666651,-9999,-9999
208,-0.0467714169722801,0.58,-9999,1,-9999,1,0.821918987732304,1,4.277778001,0.581666654,-9999,-9999
239,0.420815760016688,0.58,-9999,1,-9999,1,0.459933179453828,1,3.81111131,0.551666654,-9999,-9999
269,0.696646605478638,0.58,-9999,1,-9999,1,0.224875027085271,1,3.266666837,0.481666656,-9999,-9999
300,0.569442944217073,0.58,-9999,1,-9999,1,0.187849510898037,1,2.055555663,0.601666653,-9999,-9999
330,0.223305375460829,0.58,-9999,1,-9999,1,0.259184850686548,1,-9999,-9999,-9999,-9999
361,-0.29509334525241,0.58,-9999,1,-9999,1,0.509711373672845,1,-9999,-9999,-9999,-9999
27,-1.08129250404922,0.58,-9999,1,-9999,1,0.960266658723598,1,-9999,-9999,-9999,-9999
55,-1.81509059250865,0.58,-9999,1,-9999,1,1.51151710430824,1,-9999,-9999,-9999,-9999
86,-2.22539463077686,0.58,-9999,1,-9999,1,1.83695546058279,1,1.388888961,0.313333326,-9999,-9999
116,-2.14804917599419,0.58,-9999,1,-9999,1,1.92990633939504,1,1.600000083,0.298333327,-9999,-9999
147,-1.72489025921202,0.58,-9999,1,-9999,1,1.726263286071,1,1.977777881,0.364999992,-9999,-9999
177,-0.901143016764057,0.58,-9999,1,-9999,1,1.31132136399894,1,3.655555746,0.794999982,-9999,-9999
208,-0.0953236655984271,0.58,-9999,1,-9999,1,0.784442521984832,1,4.022222432,0.749999983,-9999,-9999
239,0.365610512159965,0.58,-9999,1,-9999,1,0.471621762357867,1,3.333333507,0.619999986,-9999,-9999
269,0.656286463685549,0.58,-9999,1,-9999,1,0.255096623551934,1,2.43333346,0.466666656,-9999,-9999
300,0.737325783708162,0.58,-9999,1,-9999,1,0.15632739351784,1,2.477777907,0.498333322,-9999,-9999
330,0.647070035868511,0.58,-9999,1,-9999,1,0.104710169976761,1,3.966666874,1.269999972,-9999,-9999
361,0.54949837104,0.58,-9999,1,-9999,1,-0.081387297301696,1,-9999,-9999,-9999,-9999
