"run_day","mint_C","maxt_C","swrad_MJm2day","co2_ppm","doy","precip_kgm2s","deforestation_fraction","burnt_area_fraction","mint_21day","dayl_21day","vpd_21day","management_type","avgTemp_C","wind_spd_ms","vpd_Pa"
1369,23.0150863155242,32.858791031376,20.8020721063731,374.306774193548,274,1.58977591564518e-05,7.84615362395665e-05,0,22.9484738492014,43063.4925300801,708.432027503176,2,27.9369386734501,1.08629736947196,650.847371064527
1400,23.5136409759522,32.5802379608155,20.1755940956505,374.4534375,305,1.37683716373537e-05,8.10769207808854e-05,0,23.4735021409534,43345.563999061,801.863873581737,2,28.0469394683838,1.2442422779277,763.771140781412
1430,23.4854330739668,33.6535416141633,19.6499168437643,376.105161290323,335,6.21587117989171e-06,7.84615362395665e-05,0,23.4448476483745,43601.3567059108,822.925189651262,2,28.5694873440651,1.40287840222159,812.112884615974
1461,23.2544437408447,32.2006917953491,17.865441597959,377.4678125,366,3.98877121990301e-05,7.84615362395665e-05,0,23.4212426049369,43762.0088377366,819.578904854647,2,27.7275677680969,1.35291873413371,878.049907567852
1492,23.3694816589356,32.0326038360596,17.1419459239969,378.4303125,31,5.13548785279008e-05,0.000194857139421811,0,23.3155659539359,43758.8119473318,669.571701477172,2,27.7010427474976,1.23961492336821,691.287780719334
1520,22.528519413389,30.890223220299,17.0230743916258,379.686206896552,59,0.000130909802430244,0.00017599999689712,0,22.7186167649643,43601.8542087828,477.868068635167,2,26.7093713168441,1.12865123968443,545.251547179985
1551,22.7836395263672,31.1331439971924,16.6344219706807,380.7375,90,0.000134010270481732,0.000194857139421811,0,22.7955324354626,43354.6571697198,445.287260034979,2,26.9583917617798,0.936935490230098,471.477242474787
1581,22.9862550797001,31.067779344128,15.9322164934597,382.240967741935,120,0.000177367980230261,0.000188571425246914,0,22.8243818291871,43072.6411441706,476.4586061069,2,27.0270172119141,0.963476078704961,437.408626764984
1612,22.8255668640137,30.8412805557251,16.5962981734208,382.445,151,0.000114940547520955,0.000194857139421811,0,22.9146481286912,42813.6495945508,422.623837268768,2,26.8334237098694,0.899775794241577,463.736377288681
1642,22.2339839812248,31.7983534289945,17.0660531588081,382.217741935484,181,3.77709256438199e-05,0.000188571425246914,0,22.420063155917,42643.5395060741,457.213170288226,2,27.0161687051096,1.00646140137988,427.303799942358
1673,21.9305292129517,32.072716331482,18.5193909946799,380.7859375,212,2.61331445830332e-05,0.000194857139421811,0,21.9444671176729,42636.5990642734,493.481423281092,2,27.0016227722168,0.972969517344609,472.287233391561
1704,22.5294033050537,33.4260908126831,19.6475361645397,378.8025,243,1.3072618575483e-05,0.000194857139421811,0,22.4593809491112,42798.9046728006,647.64465039911,2,27.9777470588684,1.09322305966634,627.706528977469
1734,21.9362229870212,33.0476515246976,20.9973853958184,376.765806451613,273,1.6318173125167e-05,0.000188571425246914,0,22.0659970894387,43054.3683484703,706.963533572242,2,27.4919372558594,1.3305780132932,639.895503760425
1765,23.3829351425171,33.6533485412598,20.4059396192327,376.990625,304,1.56501998123741e-05,0.000194857139421811,0,22.9263341812861,43336.4445042425,801.000541190804,2,28.5181418418885,1.36439955257811,786.353850727647
1795,23.5946751748362,33.7484443910661,19.1463976342607,378.306451612903,334,2.50832466403168e-05,0.000188571425246914,0,23.5852980278238,43594.024850437,849.562408007547,2,28.6715597829511,1.34180164313124,846.186873161115
1826,21.6976495742798,31.2429138183594,17.5309603053991,380.055,365,0.000111868166208328,0.000194857139421811,0,22.2775250661941,43759.0855600724,552.598399360343,2,26.4702816963196,0.937974605592899,638.770448163274
1857,22.4255100250244,31.0790077209473,17.0849934513888,381.3403125,31,9.63737044313432e-05,2.14615382911678e-05,0,22.0203954424177,43759.0855600724,467.441491492165,2,26.7522588729859,0.984734254423529,458.522841420194
1885,22.2471147208378,30.7384666705954,17.1568849998663,382.171724137931,59,0.000128794867411778,1.93846152307322e-05,0,22.4554304652222,43601.8542087828,479.256562077414,2,26.4927906957166,0.983844199571116,518.491919009236
1916,22.2263875961304,30.5519872665406,16.3758320159824,382.6553125,90,0.000113307698944538,2.14615382911678e-05,0,22.2045920508249,43354.6571697198,424.411614533015,2,26.3891874313355,0.930176819005283,438.125221670376
1946,22.2815756520918,30.4993648405998,16.2188924029233,384.547419354839,120,0.000105509554646344,2.0769230604356e-05,0,22.2772065755959,43072.6411441706,387.475357091422,2,26.3904702463458,0.906891469633387,386.235887203414
1977,22.3748832702637,30.2359338760376,16.6177218959994,385.016875,151,0.000101450354752139,2.14615382911678e-05,0,22.3665644600278,42813.6495945508,335.305239366818,2,26.3054085731507,0.780054273520363,335.188731215998
2007,21.5080623503654,31.1387632308468,17.2864776969674,384.081612903226,181,6.85015799453808e-05,2.0769230604356e-05,0,21.723043171638,42643.5395060741,438.780478987223,2,26.3234127906061,0.891437367866597,401.163337103335
2038,21.8072353363037,31.9649501800537,18.3420372586465,382.5096875,212,3.27749601862812e-05,2.14615382911678e-05,0,21.7280572073801,42636.5990642734,563.40588468272,2,26.8860927581787,1.00058252271265,480.325579461525
2069,22.4542041778565,33.0334974288941,19.6288258063453,380.4740625,243,1.01217418286195e-05,2.14615382911678e-05,0,22.2341291155134,42798.9046728006,691.002013004755,2,27.7438508033753,1.18058196164202,694.396091131541
2099,22.6362194430444,34.0116220781881,21.0540017245754,378.900322580645,273,1.03811210314794e-05,2.0769230604356e-05,0,22.6221635434668,43054.3683484703,805.923150696214,2,28.3239207606162,1.27562262923006,745.897687398569
2130,23.8056283950806,33.8686529159546,20.2984796299426,379.12125,304,1.65236176837122e-05,2.14615382911678e-05,0,23.5378022239322,43336.4445042425,836.161159465379,2,28.8371406555176,1.39376027684193,834.877508227101
2160,22.1858616982737,32.6710616573211,18.9250538425055,380.117096774193,334,5.87888830770166e-05,2.0769230604356e-05,0,22.6574394261233,43594.024850437,698.426724842163,2,27.4284616777974,1.18132019151122,815.562634272989
2191,22.3184381484986,32.4570070266724,17.9097149314921,381.7678125,365,5.60418080296934e-05,2.14615382911678e-05,0,22.3499933242798,43759.0855600724,611.530836884853,2,27.3877225875855,1.256558649824,584.494165776819
2222,23.0617385864258,31.3143688201905,17.1206084719835,382.8565625,31,5.7675926460048e-05,0.000128087915792283,0,22.6951026734852,43759.0855600724,604.198251699397,2,27.1880537033081,1.32176376797725,608.251950666342
2250,22.2765252475081,30.6404505236396,16.9718911857159,383.865172413793,59,8.92477774707746e-05,0.000115692311038192,0,22.6620959552834,43601.8542087828,496.366128460916,2,26.4584878855738,1.09973120014986,530.828829227924
2281,21.6634956359864,30.1575981140137,16.3664761025467,384.55875,90,0.000168590457957948,0.000128087915792283,0,21.7452554975237,43354.6571697198,335.77063041099,2,25.910546875,1.01453918055631,395.622697765599
2311,22.2576321509577,30.502585921749,16.5313548473783,386.438064516129,120,0.000108890592611572,0.000123956047540919,0,22.1630082044001,43072.6411441706,355.759038338726,2,26.3801090363534,0.994496981583295,319.631055273152
2342,22.7274538040161,30.8895450592041,16.8167107450913,386.558125,151,6.65214822360286e-05,0.000128087915792283,0,22.539624105181,42813.6495945508,376.72607098812,2,26.8084994316101,0.885588997713057,357.118419138248
2372,21.5943089638987,31.2214914629537,17.1251325860653,386.114838709677,181,4.37616309977272e-05,0.000123956047540919,0,21.9481120447959,42643.5395060741,407.510086379068,2,26.4079002134262,0.982376532088364,420.128556258276
2403,21.6704107284546,31.7168384552002,18.4715647170951,384.55,212,3.85125473603956e-05,0.000128087915792283,0,21.6003703435262,42636.5990642734,532.599158974524,2,26.6936245918274,1.03666381363291,467.414255175864
2434,21.9175306320191,32.4454055786133,19.7477454440008,382.0684375,243,2.49640135278598e-05,0.000128087915792283,0,21.9470193317958,42798.9046728006,585.143633558774,2,27.1814681053162,1.10094024287537,593.760530028585
2464,22.9695383379537,32.5589213709678,20.785960870788,380.993225806452,273,7.07536148008449e-06,0.000123956047540919,0,22.5584404495638,43054.3683484703,666.736484674148,2,27.7642298544607,1.20969046423993,595.464760232249
